OCC_CODE,Adj Code,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
111011,13QQ001,Chief Executives,detailed,"195,530",0.7,96.22,"200,140",0.5,32.86,55.75,91.15,#,#,"68,360","115,960","189,600",#,#,,
111021,13QQ002,General and Operations Managers,detailed,"2,289,770",0.3,59.56,"123,880",0.2,21.5,31.56,48.52,75.54,#,"44,710","65,650","100,930","157,120",#,,
112011,27QQ001,Advertising and Promotions Managers,detailed,"25,260",3,63.99,"133,090",1.3,27.48,39.52,56.31,78.54,#,"57,150","82,200","117,130","163,370",#,,
112021,27QQ002,Marketing Managers,detailed,"240,440",0.8,70.79,"147,240",0.4,33.58,46.04,64.56,87.39,#,"69,840","95,770","134,290","181,780",#,,
112022,13QQ003,Sales Managers,detailed,"379,050",0.6,67.46,"140,320",0.3,28.34,40.76,59.72,83.42,#,"58,940","84,790","124,220","173,510",#,,
112031,27QQ003,Public Relations and Fundraising Managers,detailed,"72,460",1.1,63.26,"131,570",0.7,30.89,40.44,55.19,76.33,#,"64,250","84,120","114,800","158,760",#,,
113011,43QQ001,Administrative Services Managers,detailed,"283,570",0.5,50.99,"106,050",0.3,26.44,34.54,46.24,61.11,79.55,"55,000","71,850","96,180","127,100","165,470",,
113021,15QQ001,Computer and Information Systems Managers,detailed,"391,430",0.7,73.49,"152,860",0.4,41.05,52.94,68.53,86.63,#,"85,380","110,110","142,530","180,190",#,,
113051,51QQ001,Industrial Production Managers,detailed,"181,310",0.7,54.51,"113,370",0.3,30.51,38.72,49.7,64.45,82.76,"63,470","80,530","103,380","134,060","172,150",,
113061,13QQ005,Purchasing Managers,detailed,"69,490",0.8,60.4,"125,630",0.4,33.59,43.49,57.18,72.1,89.93,"69,860","90,460","118,940","149,960","187,060",,
113111,13QQ006,Compensation and Benefits Managers,detailed,"15,660",1.5,63.87,"132,860",0.8,33.93,43.98,58.18,77.14,98.78,"70,560","91,480","121,010","160,450","205,470",,
113121,43QQ002,Human Resources Managers,detailed,"143,580",0.6,60.91,"126,700",0.4,32.15,41.23,54.47,73.44,96.82,"66,870","85,750","113,300","152,760","201,380",,
