O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Date,Domain Source
111011,Chief Executives,1.C.1.a,Achievement/Effort,IM,Importance,4.55,27,0.16,4.21,4.89,N,Jul-14,Incumbent
111011,Chief Executives,1.C.1.b,Persistence,IM,Importance,4.43,27,0.18,4.06,4.8,N,Jul-14,Incumbent
111011,Chief Executives,1.C.1.c,Initiative,IM,Importance,4.75,27,0.12,4.5,4.99,N,Jul-14,Incumbent
111011,Chief Executives,1.C.2.b,Leadership,IM,Importance,4.97,27,0.03,4.9,5,N,Jul-14,Incumbent
111011,Chief Executives,1.C.3.a,Cooperation,IM,Importance,4.44,27,0.14,4.16,4.73,N,Jul-14,Incumbent
111011,Chief Executives,1.C.3.b,Concern for Others,IM,Importance,4.22,27,0.2,3.81,4.64,N,Jul-14,Incumbent
111011,Chief Executives,1.C.3.c,Social Orientation,IM,Importance,3.67,26,0.32,3.01,4.32,N,Jul-14,Incumbent
111011,Chief Executives,1.C.4.a,Self Control,IM,Importance,4.52,27,0.12,4.26,4.77,N,Jul-14,Incumbent
111011,Chief Executives,1.C.4.b,Stress Tolerance,IM,Importance,4.75,27,0.12,4.49,5,N,Jul-14,Incumbent
111011,Chief Executives,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.2,27,0.22,3.75,4.65,N,Jul-14,Incumbent
111011,Chief Executives,1.C.5.a,Dependability,IM,Importance,4.65,27,0.13,4.38,4.93,N,Jul-14,Incumbent
111011,Chief Executives,1.C.5.b,Attention to Detail,IM,Importance,4.49,27,0.12,4.24,4.73,N,Jul-14,Incumbent
111011,Chief Executives,1.C.5.c,Integrity,IM,Importance,4.8,27,0.11,4.57,5,N,Jul-14,Incumbent
111011,Chief Executives,1.C.6,Independence,IM,Importance,4.54,27,0.18,4.17,4.91,N,Jul-14,Incumbent
111011,Chief Executives,1.C.7.a,Innovation,IM,Importance,4.27,27,0.24,3.79,4.75,N,Jul-14,Incumbent
111011,Chief Executives,1.C.7.b,Analytical Thinking,IM,Importance,4.45,27,0.17,4.09,4.8,N,Jul-14,Incumbent
111011.03,Chief Sustainability Officers,1.C.1.a,Achievement/Effort,IM,Importance,4.19,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.1.b,Persistence,IM,Importance,4.31,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.1.c,Initiative,IM,Importance,4.6,25,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.2.b,Leadership,IM,Importance,4.64,25,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.3.a,Cooperation,IM,Importance,4.32,25,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.3.b,Concern for Others,IM,Importance,3.48,25,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.3.c,Social Orientation,IM,Importance,3.35,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.4.a,Self Control,IM,Importance,4,25,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.4.b,Stress Tolerance,IM,Importance,4.08,25,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.23,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.5.a,Dependability,IM,Importance,4.23,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.5.b,Attention to Detail,IM,Importance,4.12,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.5.c,Integrity,IM,Importance,4.58,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.6,Independence,IM,Importance,4.27,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.7.a,Innovation,IM,Importance,4.38,26,,,,,Jul-13,Occupational Expert
111011.03,Chief Sustainability Officers,1.C.7.b,Analytical Thinking,IM,Importance,4.31,26,,,,,Jul-13,Occupational Expert
111021,General and Operations Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.18,55,0.14,3.91,4.46,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.1.b,Persistence,IM,Importance,4.04,55,0.13,3.79,4.29,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.1.c,Initiative,IM,Importance,4.35,55,0.11,4.13,4.56,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.2.b,Leadership,IM,Importance,4.59,55,0.1,4.39,4.79,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.3.a,Cooperation,IM,Importance,4.16,55,0.16,3.84,4.47,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.3.b,Concern for Others,IM,Importance,4.06,55,0.19,3.68,4.43,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.3.c,Social Orientation,IM,Importance,3.57,55,0.24,3.08,4.05,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.4.a,Self Control,IM,Importance,4.31,55,0.16,3.98,4.64,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.33,55,0.12,4.08,4.58,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.09,55,0.17,3.75,4.44,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.5.a,Dependability,IM,Importance,4.54,55,0.11,4.32,4.76,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.5.b,Attention to Detail,IM,Importance,4.25,55,0.15,3.95,4.54,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.5.c,Integrity,IM,Importance,4.3,55,0.17,3.95,4.65,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.6,Independence,IM,Importance,3.99,55,0.19,3.6,4.38,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.7.a,Innovation,IM,Importance,3.65,55,0.2,3.25,4.05,N,Jul-15,Incumbent
111021,General and Operations Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.03,55,0.22,3.6,4.47,N,Jul-15,Incumbent
112011,Advertising and Promotions Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.1,27,0.16,3.77,4.43,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.1.b,Persistence,IM,Importance,4.32,27,0.16,4,4.65,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.1.c,Initiative,IM,Importance,4.56,27,0.11,4.34,4.78,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.2.b,Leadership,IM,Importance,4.03,27,0.19,3.64,4.41,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.3.a,Cooperation,IM,Importance,4.51,27,0.16,4.19,4.82,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.3.b,Concern for Others,IM,Importance,3.81,27,0.21,3.39,4.24,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.3.c,Social Orientation,IM,Importance,3.7,27,0.24,3.21,4.2,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.4.a,Self Control,IM,Importance,4.18,26,0.2,3.77,4.6,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.35,27,0.15,4.04,4.66,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.42,27,0.14,4.13,4.72,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.5.a,Dependability,IM,Importance,4.51,27,0.14,4.22,4.8,N,Aug-18,Incumbent
